Date,Open,High,Low,Close,Adj Close,Volume
2021-01-06,23.110001,23.469999,22.530001,22.719999,22.719999,4546800
2021-01-07,22.950001,23.42,22.84,23.200001,23.200001,4570000
2021-01-08,23.290001,23.48,22.67,22.84,22.84,3400600
2021-01-11,22.5,22.780001,22.389999,22.389999,22.389999,3104400
2021-01-12,22.51,23.24,22.26,23.129999,23.129999,3645400
2021-01-13,23.09,23.190001,22.639999,22.99,22.99,3290000
2021-01-14,23,24.35,23,23.889999,23.889999,6969600
2021-01-15,23.65,23.75,22.85,22.92,22.92,5914300
2021-01-18,23.040001,23.33,22.959999,22.969999,22.969999,1748300
2021-01-19,23.200001,23.4,22.950001,23.049999,23.049999,3582100
2021-01-20,23.200001,23.549999,22.879999,22.889999,22.889999,3488000
2021-01-21,22.889999,22.959999,21.809999,22.030001,22.030001,6739500
2021-01-22,21.780001,22.15,21.67,22.09,22.09,2561800
2021-01-25,21.959999,21.959999,20.719999,20.860001,20.860001,6522600
2021-01-26,20.91,21.34,20.33,20.4,20.4,4306100
2021-01-27,20,20.299999,19.870001,19.940001,19.940001,5763500
2021-01-28,20.51,21.389999,20.25,21.030001,21.030001,5604400
2021-01-29,21.030001,21.07,19.370001,20.02,20.02,8899800
2021-02-01,19.969999,20.629999,19.73,20.42,20.42,4107000
2021-02-02,20.799999,21.540001,20.52,21.27,21.27,4992200
2021-02-03,21.43,21.860001,21.1,21.809999,21.809999,3271600
2021-02-04,22.02,22.24,21.690001,21.780001,21.780001,3274300
2021-02-05,22.030001,22.09,21.67,21.870001,21.870001,2354800
2021-02-08,22.1,22.1,21.450001,21.65,21.65,3911200
2021-02-09,21.610001,21.629999,21.200001,21.5,21.5,3247400
2021-02-10,21.299999,21.4,21,21.08,21.08,3490800
2021-02-11,21.139999,21.33,20.809999,21.200001,21.200001,3466400
2021-02-12,21.6,22.450001,21.379999,22.33,22.33,6869000
2021-02-16,23,23.549999,22.48,23.42,23.42,7055200
2021-02-17,23.540001,24.049999,23.1,23.559999,23.559999,5378900
2021-02-18,23.41,23.440001,22.709999,23.290001,23.290001,3198700
2021-02-19,23.43,24.290001,23.200001,24.02,24.02,3810100
2021-02-22,24.139999,25.58,23.879999,25.07,25.07,6798200
2021-02-23,25.07,25.25,23.98,25.200001,25.200001,4793900
2021-02-24,25.5,26.49,25.25,26.34,26.34,7225800
2021-02-25,26.5,26.51,24.93,25.110001,25.110001,5754500
